name,extra_syn_night,extra_real_night,train_count,real_F1@50,real_F1@75,real_mF1,syn_F1@50,syn_F1@75,syn_mF1
exp1_day_only,0,0,74950,0.5853473604397686,0.4223928221653556,0.38078539159005464,0.8845862955679926,0.7206171532294661,0.6293147783996369
exp1_day_plus_syn_night_full,3500,0,78450,0.6278496423679805,0.4496119312129052,0.4054968802313194,0.9329045461189884,0.7899429907908201,0.6905423183745066
exp1_day_plus_real_night_full,0,3500,78450,0.7179751785568802,0.5150042093256932,0.4670559161393694,0.9000894721145243,0.7578288100208769,0.6563972561884879
exp3_mix_syn100_real0,3500,0,78450,0.6371438580102755,0.44371788883699204,0.4064514245679588,0.9343044428259286,0.7921340131099781,0.6879242534595775
exp3_mix_syn75_real25,2625,875,78450,0.7137916126242974,0.5091872027669693,0.462629701686122,0.9331001311762134,0.7873487829762426,0.685002186270223
exp3_mix_syn50_real50,1750,1750,78450,0.7148106122007889,0.5059707137839736,0.4628356837953207,0.9263588544710695,0.7855055523085914,0.6842489772063122
exp3_mix_syn25_real75,875,2625,78450,0.7210961569644885,0.5192151775579699,0.4706340197827144,0.9260290024901129,0.7775010985791708,0.6788047458620184
exp3_mix_syn0_real100,0,3500,78450,0.718297224563025,0.5114850354744883,0.4653165520428413,0.8968717257895525,0.7477922466696603,0.6510103277952404
exp4_real_budget_100,0,100,75050,0.6729493494291491,0.46738604333342826,0.4278108362041966,0.8843373493975906,0.7385542168674699,0.6399096385542169
exp4_real_budget_100_plus_syn_full,3500,100,78550,0.685243328100471,0.48306795245570755,0.4383437990580847,0.934845840605003,0.787085514834206,0.6866492146596859
exp4_real_budget_500,0,500,75450,0.6972343129038363,0.48506312687555764,0.4446024493768418,0.893192313421719,0.7448234768359899,0.6469238790406674
exp4_real_budget_500_plus_syn_full,3500,500,78950,0.7146868250539957,0.5004859611231102,0.4591900647948164,0.9326726901777909,0.792188866219761,0.6881375692218011
exp4_real_budget_1000,0,1000,75950,0.7091193673284455,0.5064118406238844,0.46003789438998266,0.885078219013237,0.7298435619735258,0.6342358604091457
exp4_real_budget_1000_plus_syn_full,3500,1000,79450,0.7159214239201217,0.5091165617538528,0.4624375949641849,0.9318347686469128,0.7899576704130783,0.6870529849656984
